user_id,movie_reco_1,movie_reco_2,movie_reco_3,movie_reco_4,movie_reco_5,movie_reco_6,movie_reco_7,movie_reco_8,movie_reco_9,movie_reco_10
1,Wristcutters: A Love Story (2006),"Virgin Suicides, The (1999)",Rashomon (Rashômon) (1950),The Artist (2011),Marie Antoinette (2006),Lemony Snicket's A Series of Unfortunate Events (2004),8 1/2 (8½) (1963),Incendies (2010),"Pan's Labyrinth (Laberinto del fauno, El) (2006)",Beauty and the Beast (La belle et la bête) (1946)
2,"Hobbit: An Unexpected Journey, The (2012)","Hobbit: The Desolation of Smaug, The (2013)",Where the Wild Things Are (2009),Harry Potter and the Deathly Hallows: Part 2 (2011),"Hitchhiker's Guide to the Galaxy, The (2005)",Kon-Tiki (2012),Zathura (2005),I Kill Giants (2018),Ender's Game (2013),City of Ember (2008)
3,City of Ember (2008),Girl with a Pearl Earring (2003),Miss Peregrine's Home for Peculiar Children (2016),I Kill Giants (2018),Tykho Moon (1996),Valerian and the City of a Thousand Planets (2017),Where the Wild Things Are (2009),Pandorum (2009),Venom (2018),Never Let Me Go (2010)
4,Valerian and the City of a Thousand Planets (2017),Pandorum (2009),Watchmen (2009),"Hitchhiker's Guide to the Galaxy, The (2005)",Tykho Moon (1996),Miss Peregrine's Home for Peculiar Children (2016),Children of Men (2006),Star Wars: Episode III - Revenge of the Sith (2005),Divergent (2014),Sunshine (2007)
5,Wristcutters: A Love Story (2006),"Dark Crystal, The (1982)","Lord of the Rings: The Return of the King, The (2003)",Watership Down (1978),I Kill Giants (2018),"Lord of the Rings: The Two Towers, The (2002)",Where the Wild Things Are (2009),Lemony Snicket's A Series of Unfortunate Events (2004),"Hitchhiker's Guide to the Galaxy, The (2005)","Graduate, The (1967)"
6,Marie Antoinette (2006),City of God (Cidade de Deus) (2002),"Green Mile, The (1999)","Shining, The (1980)",No Country for Old Men (2007),Forrest Gump (1994),Star Wars: Episode VI - Return of the Jedi (1983),Mystic River (2003),12 Years a Slave (2013),Never Let Me Go (2010)
7,City of God (Cidade de Deus) (2002),Trainspotting (1996),Killer Joe (2011),Sin City (2005),"Boondock Saints, The (2000)","Lock, Stock & Two Smoking Barrels (1998)",Fargo (1996),Goodfellas (1990),Z (1969),Sin City: A Dame to Kill For (2014)
8,Children of Men (2006),"Hitchhiker's Guide to the Galaxy, The (2005)",Blade Runner (1982),Once Upon a Time in the West (C'era una volta il West) (1968),Hardcore Henry (2015),Soylent Green (1973),I Kill Giants (2018),They Live (1988),No Country for Old Men (2007),Sin City (2005)
9,"Ice Pirates, The (1984)","Hobbit: The Desolation of Smaug, The (2013)",Zathura (2005),"Lord of the Rings: The Return of the King, The (2003)",Jurassic Park (1993),Slaughterhouse-Five (1972),Ender's Game (2013),"Chronicles of Riddick, The (2004)",The Space Children (1958),I Kill Giants (2018)
10,Star Wars: Episode III - Revenge of the Sith (2005),"Hitchhiker's Guide to the Galaxy, The (2005)",Pandorum (2009),Blade Runner (1982),Serenity (2005),Valerian and the City of a Thousand Planets (2017),Alien (1979),Ender's Game (2013),"Fifth Element, The (1997)",Pitch Black (2000)
