user_id,rec_1,rec_2,rec_3,rec_4,rec_5,rec_6,rec_7,rec_8,rec_9,rec_10
1,Being John Malkovich (1999),Adaptation (2002),Living in Oblivion (1995),Her (2013),Cemetery Man (Dellamorte Dellamore) (1994),45365 (2010),Macario (1960),One Cut of the Dead (2017),Larry David: Curb Your Enthusiasm (1999),Grill Point (Halbe Treppe) (2002)
2,"Gods Must Be Crazy II, The (1989)",The Age of Adaline (2015),Your Name. (2016),Johnny English Reborn (2011),This Means War (2012),Mystery Science Theater 3000: The Movie (1996),"Adventures of Buckaroo Banzai Across the 8th Dimension, The (1984)",Black Mirror,Arrival (2016),Mulholland Dr. (1999)
3,Love and Death on Long Island (1997),Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Losing Isaiah (1995),"House of Yes, The (1997)",Watership Down (1978),"Goodbye, Dragon Inn (Bu san) (2003)",What Time Is It There? (Ni neibian jidian) (2001),Twentynine Palms (2003),Nostalgia for the Light (Nostalgia de la luz) (2010),May Fools (Milou en mai) (1990)
4,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),"Fast, Cheap & Out of Control (1997)",Everest (1998),French Twist (Gazon maudit) (1995),Enchanted April (1992),Stalingrad (1993),Mesrine: Public Enemy #1 (L'ennemi public n??1) (2008),Max Manus (2008),Romper Stomper (1992),"Godson, The (1998)"
5,Elite Squad: The Enemy Within (Tropa de Elite 2 - O Inimigo Agora ?? Outro) (2010),Elite Squad (Tropa de Elite) (2007),Butch Cassidy and the Sundance Kid (1969),Incendies (2010),"Secret in Their Eyes, The (El secreto de sus ojos) (2009)",The Misadventures of Rick and Morty,The Devils (1971),Cyclo (Xich lo) (1995),Land and Freedom (Tierra y libertad) (1995),Lamerica (1994)
6,Snow White and the Seven Dwarfs (1937),Pinocchio (1940),Mary Poppins (1964),Bambi (1942),How the Grinch Stole Christmas! (1966),L'ora legale (2017),The Stronghold (2017),The Dragon Spell (2016),Assassination Nation (2018),Baar??a (2009)
7,"Pianist, The (2002)",Saving Private Ryan (1998),Incendies (2010),"Boy in the Striped Pajamas, The (Boy in the Striped Pyjamas, The) (2008)",Hotel Rwanda (2004),Sudden Manhattan (1997),Dear Pillow (2004),Frontrunners (2008),American Zombie (2007),Shok (2015)
8,Bruce Almighty (2003),Yes Man (2008),"Mask, The (1994)",Ace Ventura: Pet Detective (1994),Ace Ventura: When Nature Calls (1995),True Lies (1994),"Nutty Professor, The (1996)",Major Payne (1995),Robin Hood: Prince of Thieves (1991),Under Siege 2: Dark Territory (1995)
9,Beauty and the Beast (La belle et la b??te) (1946),Brief Encounter (1946),"Wizard of Oz, The (1939)",Incendies (2010),Captain Fantastic (2016),Winnie the Pooh and the Blustery Day (1968),Apollo 13 (1995),Cinderella (1950),Angels in the Outfield (1994),First Knight (1995)
10,Star Wars: Episode IV - A New Hope (1977),Star Wars: Episode VI - Return of the Jedi (1983),Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),Star Wars: Episode VII - The Force Awakens (2015),Raiders of the Lost Ark: The Adaptation (1989),The Alien Saga (2002),4Got10 (2015),Rio Diablo (1993),Beyond the Pale (2014),Bluebeard (2017)
